Trait,Cat
PC2_mean_dist_SDLD_acc_pre,Spread_of_Shape
PC3_mean_dist_SDLD_acc_pre,Spread_of_Shape
PC1_mean_dist_SDSD_acc_pre,Spread_of_Shape
PC2_mean_dist_SDSD_acc_pre,Spread_of_Shape
PC3_mean_dist_SDSD_acc_pre,Spread_of_Shape
PC1_mean_dist_LDLD_acc_pre,Spread_of_Shape
PC2_mean_dist_LDLD_acc_pre,Spread_of_Shape
PC3_mean_dist_LDLD_acc_pre,Spread_of_Shape
PC1_mean_dist_SDLD_acc_post,Spread_of_Shape
PC2_mean_dist_SDLD_acc_post,Spread_of_Shape
PC3_mean_dist_SDLD_acc_post,Spread_of_Shape
PC1_mean_dist_SDSD_acc_post,Spread_of_Shape
PC2_mean_dist_SDSD_acc_post,Spread_of_Shape
PC3_mean_dist_SDSD_acc_post,Spread_of_Shape
PC1_mean_dist_LDLD_acc_post,Spread_of_Shape
PC2_mean_dist_LDLD_acc_post,Spread_of_Shape
PC3_mean_dist_LDLD_acc_post,Spread_of_Shape
mean_total_euclid_SDLD_ori_pre,Spread_of_Shape
mean_total_euclid_SDSD_ori_pre,Spread_of_Shape
mean_total_euclid_LDLD_ori_pre,Spread_of_Shape
mean_total_euclid_SDLD_ori_post,Spread_of_Shape
mean_total_euclid_SDSD_ori_post,Spread_of_Shape
mean_total_euclid_LDLD_ori_post,Spread_of_Shape
mean_total_euclid_SDLD_vel_pre,Spread_of_Shape
mean_total_euclid_SDSD_vel_pre,Spread_of_Shape
mean_total_euclid_LDLD_vel_pre,Spread_of_Shape
mean_total_euclid_SDLD_vel_post,Spread_of_Shape
mean_total_euclid_SDSD_vel_post,Spread_of_Shape
mean_total_euclid_LDLD_vel_post,Spread_of_Shape
mean_total_euclid_SDLD_acc_pre,Spread_of_Shape
mean_total_euclid_SDSD_acc_pre,Spread_of_Shape
mean_total_euclid_LDLD_acc_pre,Spread_of_Shape
mean_total_euclid_SDLD_acc_post,Spread_of_Shape
mean_total_euclid_SDSD_acc_post,Spread_of_Shape
mean_total_euclid_LDLD_acc_post,Spread_of_Shape
PC1_se_dist_SDLD_ori_pre,Spread_of_Shape
PC2_se_dist_SDLD_ori_pre,Spread_of_Shape
PC3_se_dist_SDLD_ori_pre,Spread_of_Shape
PC1_se_dist_SDSD_ori_pre,Spread_of_Shape
PC2_se_dist_SDSD_ori_pre,Spread_of_Shape
PC3_se_dist_SDSD_ori_pre,Spread_of_Shape
PC1_se_dist_LDLD_ori_pre,Spread_of_Shape
PC2_se_dist_LDLD_ori_pre,Spread_of_Shape
PC3_se_dist_LDLD_ori_pre,Spread_of_Shape
PC1_se_dist_SDLD_ori_post,Spread_of_Shape
PC2_se_dist_SDLD_ori_post,Spread_of_Shape
PC3_se_dist_SDLD_ori_post,Spread_of_Shape
PC1_se_dist_SDSD_ori_post,Spread_of_Shape
PC2_se_dist_SDSD_ori_post,Spread_of_Shape
PC3_se_dist_SDSD_ori_post,Spread_of_Shape
PC1_se_dist_LDLD_ori_post,Spread_of_Shape
PC2_se_dist_LDLD_ori_post,Spread_of_Shape
PC3_se_dist_LDLD_ori_post,Spread_of_Shape
PC1_se_dist_SDLD_vel_pre,Spread_of_Shape
PC2_se_dist_SDLD_vel_pre,Spread_of_Shape
PC3_se_dist_SDLD_vel_pre,Spread_of_Shape
PC1_se_dist_SDSD_vel_pre,Spread_of_Shape
PC2_se_dist_SDSD_vel_pre,Spread_of_Shape
PC3_se_dist_SDSD_vel_pre,Spread_of_Shape
PC1_se_dist_LDLD_vel_pre,Spread_of_Shape
PC2_se_dist_LDLD_vel_pre,Spread_of_Shape
PC3_se_dist_LDLD_vel_pre,Spread_of_Shape
PC1_se_dist_SDLD_vel_post,Spread_of_Shape
PC2_se_dist_SDLD_vel_post,Spread_of_Shape
PC3_se_dist_SDLD_vel_post,Spread_of_Shape
PC1_se_dist_SDSD_vel_post,Spread_of_Shape
PC2_se_dist_SDSD_vel_post,Spread_of_Shape
PC3_se_dist_SDSD_vel_post,Spread_of_Shape
PC1_se_dist_LDLD_vel_post,Spread_of_Shape
PC2_se_dist_LDLD_vel_post,Spread_of_Shape
